"anio","mes","tot_Extorsion","tot_Homicidio","tot_Resto","tot_Robo_vehi","tot_Secuestro","tot_incid","tot_pob","tasa_incid","tasa_homic","tasa_extor","tasa_secue"
2001,7,113,1248,107812,11890,41,121104,100105299,120.976612836449,1.24668725079179,0.112881137291244,0.0409568728224867
2001,8,122,1130,109225,12446,44,122967,100105299,122.837653179578,1.12881137291244,0.121871670349838,0.0439537171753515
2001,9,128,1028,106226,11868,42,119292,100105299,119.166518847319,1.02691866491503,0.127865359055568,0.0419558209401083
2001,10,117,1094,112558,12526,50,126345,100105299,126.212099920904,1.09284924067806,0.11687692976173,0.0499474058810813
2001,11,114,1031,104357,12430,37,117969,100105299,117.844910487706,1.0299155092679,0.113880085408865,0.0369610803520001
2001,12,100,1147,100208,12873,53,114381,100105299,114.260684641679,1.145793490912,0.0998948117621626,0.0529442502339462
2002,1,109,1156,104580,13125,35,119005,101493987,117.253251663076,1.13898373112488,0.107395524820598,0.0344848015478986
2002,2,125,1076,101132,11656,33,114022,101493987,112.3436012027,1.06016132758683,0.123160005528209,0.0325142414594473
2002,3,127,1123,106543,11965,38,119796,101493987,118.032608178059,1.10646948966543,0.125130565616661,0.0374406416805756
2002,4,147,1147,113166,11383,42,125885,101493987,124.031978367349,1.13011621072685,0.144836166501174,0.0413817618574783
2002,5,142,1162,113755,11198,43,126300,101493987,124.440869585703,1.14489541139023,0.139909766280046,0.042367041901704
2002,6,121,1058,105413,11208,33,117833,101493987,116.098503451244,1.04242628679076,0.119218885351307,0.0325142414594473
2002,7,131,1104,107982,11720,33,120970,101493987,119.18932694998,1.08774916882514,0.129071685793563,0.0325142414594473
2002,8,156,1130,109679,11847,33,122845,101493987,121.036727032903,1.11336644997501,0.153703686899205,0.0325142414594473
2002,9,138,1029,106567,10938,41,118713,101493987,116.965549890162,1.01385316550822,0.135968646103143,0.0403964818132526
2002,10,183,1011,115250,12180,31,128655,101493987,126.761204089854,0.996118124712157,0.180306248093298,0.0305436813709959
2002,11,142,1058,100365,11379,40,112984,101493987,111.320880516794,1.04242628679076,0.139909766280046,0.039411201769027
2002,12,115,1094,99160,12071,33,112473,101493987,110.817402414194,1.07789636838289,0.113307205085953,0.0325142414594473
2003,1,137,1084,98701,12692,45,112659,102890474,109.494101465603,1.05354748390021,0.133151296396982,0.0437358272836803
2003,2,146,1032,98889,11624,30,111721,102890474,108.582452443557,1.00300830570574,0.141898461853718,0.0291572181891202
2003,3,169,1127,109517,11947,43,122803,102890474,119.353128842618,1.09533949663795,0.164252329132044,0.041792012737739
2003,4,153,1066,104843,11753,31,117846,102890474,114.535384490502,1.03605315298674,0.148701812764513,0.0301291254620909
2003,5,175,1114,112810,12378,25,126502,102890474,122.948213845336,1.08270470208933,0.170083772769868,0.0242976818242668
2003,6,169,1016,109374,11877,36,122472,102890474,119.031427535264,0.987457789338204,0.164252329132044,0.0349886618269443
2003,7,156,1057,109762,12555,32,123562,102890474,120.090806462802,1.02730598753,0.151617534583425,0.0311010327350616
2003,8,147,1038,106688,12262,24,120159,102890474,116.783406012883,1.00883974934356,0.142870369126689,0.0233257745512962
2003,9,162,1050,108876,12446,43,122577,102890474,119.133477798926,1.02050263661921,0.157448978221249,0.041792012737739
2003,10,192,1036,113106,12785,29,127148,102890474,123.576065943675,1.00689593479762,0.186606196410369,0.0281853109161495
2003,11,161,1046,104004,11814,45,117070,102890474,113.781184446677,1.01661500752732,0.156477070948278,0.0437358272836803
2003,12,143,1010,98282,12685,30,112150,102890474,108.999400663661,0.98162634570038,0.138982740034806,0.0291572181891202
2004,1,181,938,94481,12472,35,108107,104272444,103.677439458502,0.89956652401856,0.173583732246652,0.0335659150753194
2004,2,154,939,98928,11866,37,111924,104272444,107.338042254001,0.900525550163569,0.147690026331405,0.0354839673653377
2004,3,195,1052,114114,12431,46,127838,104272444,122.599984325677,1.0088955045496,0.18701009827678,0.0441152026704198
2004,4,191,1002,103130,11212,24,115559,104272444,110.82410229111,0.960944197299145,0.183173993696743,0.023016627480219
2004,5,180,1013,109713,11790,13,122709,104272444,117.681139227925,0.971493484894245,0.172624706101643,0.0124673398851186
2004,6,186,1039,109423,11536,28,122212,104272444,117.204503233855,0.996428164664482,0.178378862971697,0.0268527320602555
2004,7,206,892,107298,11159,25,119580,104272444,114.680346420191,0.855451321348141,0.19755938587188,0.0239756536252282
2004,8,235,922,107361,11667,17,120202,104272444,115.276860682387,0.884222105698414,0.225371144077145,0.0163034444651551
2004,9,191,878,106259,11894,12,119234,104272444,114.348523374018,0.842024955318013,0.183173993696743,0.0115083137401095
2004,10,234,1002,111152,12584,29,125001,104272444,119.879227152286,0.960944197299145,0.224412117932136,0.0278117582052647
2004,11,240,984,105454,13490,16,120184,104272444,115.259598211777,0.94368172668898,0.23016627480219,0.015344418320146
2004,12,223,997,98154,12356,41,111771,104272444,107.191311253815,0.956149066574099,0.213862830337035,0.0393200719453742
2005,1,223,952,100588,13037,21,114821,105669369,108.660628038765,0.900923331907092,0.21103561241101,0.0198733087920682
2005,2,222,921,100376,12296,29,113844,105669369,107.736046005915,0.871586542737849,0.210089264373293,0.0274440930938085
2005,3,276,955,106301,12560,25,120117,105669369,113.672487246517,0.903762376020245,0.261192058410039,0.0236587009429383
